"SA2,""latitude.y"",""longitude.y"""
"Coffs Harbour - South,-30.2985996,153.1094116"
"Coramba - Nana Glen - Bucca,-28.4094868,152.709476366667"
"Dorrigo,-30.3399677,152.7120341"
"Korora - Emerald Beach,-30.2139473,153.1610678"
"Sawtell - Boambee,-30.3358636748474,153.079584109801"
"Urunga,-30.4983386,153.0166289"
"Woolgoolga - Arrawarra,-30.08096995,153.19555925"
"Tea Gardens - Hawks Nest,-32.66923785,152.16825595"
"Bulahdelah - Stroud,-32.4128596,152.2076821"
"Forster,-32.1820852,152.5131155"
"Forster-Tuncurry Surrounds,-25,135"
"Tuncurry,-32.1755506,152.4982615"
"Kempsey,-30.90564575,152.522802076883"
"Kempsey Surrounds,-25,135"
"Macksville - Scotts Head,-30.7448417,152.997419"
"Nambucca Heads,-30.6449458,152.9924524"
"Nambucca Heads Surrounds,-25,135"
"South West Rocks,-30.8943859,153.040677"
"Lord Howe Island,-31.5540166,159.085625626059"
"Laurieton - Bonny Hills,-31.62183485,152.8167227"
"Port Macquarie - West,NA,NA"
"Port Macquarie Surrounds,-25,135"
"Wauchope,-31.4557879,152.734664"
"Old Bar - Manning Point - Red Head,-31.9690003666667,152.587626133333"
"Taree,-31.912864,152.4608481"
"Taree Surrounds,-25,135"
"Wingham,-31.865,152.3677778"
"Ballina,-28.85268465,153.490624665701"
"Ballina Surrounds,-25,135"
"Bangalow,-28.6816667,153.5177778"
"Brunswick Heads - Ocean Shores,-28.5433279,153.540243175643"
"Byron Bay,-28.6483333,153.6177778"
"Evans Head,-29.1174093,153.4312097"
"Lennox Head - Skennars Head,-28.8228897,153.6010642"
"Mullumbimby,-28.5483333,153.5011111"
"Casino,-28.8631616,153.048155"
"Casino Surrounds,-25,135"
"Goonellabah,-28.815,153.3177777"
"Kyogle,-28.64629175,152.744424414749"
"Lismore,-28.8077608,153.2791883"
"Lismore Surrounds,-25,135"
"Kingscliff - Fingal Head,-28.22983335,153.57145555"
"Murwillumbah,-28.3267617,153.3971541"
"Murwillumbah Surrounds,-25,135"
"Pottsville,-28.3869444,153.5608333"
"Tweed Heads,-28.1786639,153.5369986"
"Banora Point,-28.2220841,153.5370661"
"Terranora - North Tumbulgum,-28.2705901,153.4668072"
"Tweed Heads South,-28.2003,153.5349368"
"Port Macquarie - East,NA,NA"
"Port Macquarie - South,-31.4299499,152.9103525"
"North Coast NSW Region nfd,-25,135"
"Norfolk Island,-29.0328038,167.9483137"
"Bourke - Brewarrina,-29.9657348,146.4645629"
"Cobar,-31.96666285,145.30450537474"
"Nyngan - Warren,-31.5616444,147.231777735409"
"Walgett - Lightning Ridge,-29.427367,147.980388"
"Broken Hill,-31.965,141.4511111"
"Far West,-30.3321766,147.4174683"
"Outback NSW Region nfd,-25,135"
"Hay,-34.1573005,144.890392976872"
"Griffith (NSW),-34.334545,146.008104192853"
"Griffith Surrounds,-25,135"
"Leeton,-34.52975335,146.293258019986"
"Narrandera,-34.5926463,146.700043833903"
"Cootamundra,-34.6394513,148.025723"
"Gundagai,-35.0614045,148.1059794"
"Junee,-34.81502565,147.672674991301"
